eje_x,aspirin_ftir,aspirin_raman
860,1.5692216506220095e-05,
861,1.6445601547774526e-05,
862,1.7244131921070167e-05,
863,1.8088985654243137e-05,
864,1.898142971772994e-05,
865,1.992281851744181e-05,
866,2.091459249417997e-05,
867,2.195827682136136e-05,
868,2.3055480192978464e-05,
869,2.420789369355952e-05,
870,2.541728974182647e-05,
871,2.6685521099647136e-05,
872,2.801451993784188e-05,
873,2.94062969503793e-05,
874,3.0862940508489215e-05,
875,3.238661584622266e-05,
876,3.39795642690518e-05,
877,3.5644102377111176e-05,
878,3.738262129477802e-05,
879,3.919758589834946e-05,
880,4.109153403366198e-05,
881,4.306707571561789e-05,
882,4.512689230166735e-05,
883,4.72737356314435e-05,
884,4.951042712486546e-05,
885,5.183985683116154e-05,
886,5.426498242142866e-05,
887,5.678882811748669e-05,
888,5.94144835499584e-05,
889,6.21451025386822e-05,
890,6.498390178873085e-05,
891,6.793415949552225e-05,
892,7.099921385268472e-05,
893,7.41824614565387e-05,
894,7.748735560130865e-05,
895,8.091740445933131e-05,
896,8.447616914082705e-05,
897,8.81672616279873e-05,
898,9.199434257838948e-05,
899,9.596111899302352e-05,
900,0.0001000713417444,
901,0.0001043288029608,
902,0.0001087373332623,
903,0.0001133007988452,
904,0.0001180230984116,
905,0.0001229081599417,
906,0.0001279599373038,
907,0.0001331824067035,
908,0.000138579562966,
909,0.0001441554156533,
910,0.0001499139850122,
911,0.0001558592977543,
912,0.0001619953826663,
913,0.0001683262660509,
914,0.000174855966998,
915,0.0001815884924881,
916,0.0001885278323274,
917,0.0001956779539173,
918,0.0002030427968602,
919,0.0002106262674029,
920,0.0002184322327223,
921,0.000226464515055,
922,0.0002347268856756,
923,0.000243223058728,
924,0.0002519566849139,
925,0.0002609313450441,
926,0.0002701505434584,
927,0.0002796177013205,
928,0.0002893361497939,
929,0.0002993091231068,
930,0.0003095397515136,
931,0.0003200310541605,
932,0.0003307859318648,
933,0.0003418071598169,
934,0.0003530973802137,
935,0.000364659094835,
936,0.0003764946575723,
937,0.0003886062669219,
938,0.0004009959584526,
939,0.0004136655972616,
940,0.0004266168704293,
941,0.000439851279487,
942,0.0004533701329091,
943,0.0004671745386455,
944,0.0004812653967056,
945,0.0004956433918097,
946,0.000510308986122,
947,0.0005252624120788,
948,0.0005405036653288,
949,0.0005560324977991,
950,0.0005718484109028,
951,0.0005879506489044,
952,0.0006043381924577,
953,0.000621009752333,
954,0.000637963763349,
955,0.000655198378525,
956,0.0006727114634706,
957,0.0006905005910274,
958,0.0007085630361798,
959,0.0007268957712495,
960,0.0007454954613904,
961,0.0007643584603991,
962,0.0007834808068554,
963,0.0008028582206088,
964,0.0008224860996255,
965,0.0008423595172097,
966,0.0008624732196136,
967,0.0008828216240495,
968,0.0009033988171171,
969,0.000924198553659,
970,0.0009452142560549,
971,0.0009664390139681,
972,0.0009878655845537,
973,0.0010094863931387,
974,0.001031293534384,
975,0.0010532787739368,
976,0.0010754335505812,
977,0.0010977489788944,
978,0.0011202158524141,
979,0.001142824647324,
980,0.0011655655266599,
981,0.001188428345042,
982,0.0012114026539345,
983,0.001234477707435,
984,0.001257642468594,
985,0.0012808856162638,
986,0.0013041955524768,
987,0.001327560410348,
988,0.0013509680625015,
989,0.0013744061300129,
990,0.0013978619918647,
991,0.0014213227949059,
992,0.0014447754643088,
993,0.0014682067145133,
994,0.0014916030606489,
995,0.0015149508304231,
996,0.0015382361764632,
997,0.0015614450890982,
998,0.0015845634095674,
999,0.0016075768436378,
1000,0.0016304709756152,
1001,0.0016532312827313,
1002,0.0016758431498871,
1003,0.0016982918847339,
1004,0.0017205627330704,
1005,0.0017426408945353,
1006,0.0017645115385723,
1007,0.0017861598206442,
1008,0.0018075708986733,
1009,0.0018287299496813,
1010,0.0018496221866053,
1011,0.0018702328752619,
1012,0.001890547351435,
1013,0.0019105510380571,
1014,0.001930229462459,
1015,0.0019495682736586,
1016,0.0019685532596596,
1017,0.0019871703647324,
1018,0.0020054057066475,
1019,0.0020232455938323,
1020,0.002040676542421,
1021,0.0020576852931693,
1022,0.0020742588282038,
1023,0.0020903843875762,
1024,0.0021060494855941,
1025,0.0021212419268976,
1026,0.002135949822255,
1027,0.0021501616040468,
1028,0.0021638660414117,
1029,0.002177052255026,
1030,0.0021897097314893,
1031,0.0022018283372903,
1032,0.0022133983323268,
1033,0.0022244103829542,
1034,0.0022348555745389,
1035,0.0022447254234929,
1036,0.002254011888766,
1037,0.0022627073827753,
1038,0.0022708047817509,
1039,0.002278297435477,
1040,0.0022851791764122,
1041,0.0022914443281692,
1042,0.0022970877133394,
1043,0.0023021046606469,
1044,0.0023064910114181,
1045,0.0023102431253549,
1046,0.0023133578855997,
1047,0.0023158327030843,
1048,0.0023176655201522,
1049,0.002318854813449,
1050,0.0023193995960753,
1051,0.0023192994189973,
